"Field Name","Alias","Description","Type"
"Benchmarking_status","Benchmarking Status","States how the building complied with benchmarking requirements: <br />Failed<br />Needs Improvement<br />Questionable<br />Vacancy Exemption<br />Permanent Exemption<br />Change of Ownership","Text"
"Compliance_Type","Compliance Type","States whether the building is required to comply or voluntarily complied.","Text"
"Electricity_Use_kBtu","Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu)","Annual electricity consumption for the property from the grid (reported from utility bills) plus the total amount energy produced from onsite solar panels or wind turbines (if applicable).","Text"
"ENERGY_STAR_Score","ENERGY STAR Score","The 1-100 ENERGY STAR score was developed by the Environmental Protection Agency (EPA) and provides a metric for comparison with other similar buildings across the country. The score accounts for differences in climate, occupancy and operating hours. A score of 50 represents median energy performance, while a score of 75 or better indicates a building is a top performer.","Text"
"ESTAR_CERTIFIED","ENERGYSTAR_CERTIFIED","States whether the building is ENERGY STAR certified or not.","Text"
"Fuel_Oil_02_Use_kBtu","Fuel Oil #2 Use (kBtu)	","Annual heating oil consumption for the property as reported from utility bills.","Text"
"Natural_Gas_Use_kBtu","Natural Gas Use (kBtu)","Annual natural gas consumption for the property as reported from utility bills.","Text"
"Num_of_Buildings","Number of Buildings","The total number of buildings that are located on a multi-building property.","Integer"
"opa_account_num","OPA Account Number","This is the Office of Property Assessment (OPA) ID number for the property.","Text"
"Portfolio_Manager_ID","Portfolio Manager ID","This is a unique ID assigned by the Portfolio Manager tool to each property.","Text"
"Postal_Code","Zip Code","Zip code of property address.","Integer"
"Primary_Prop_Type_EPA-Calc","Primary Property Type - EPA Calculated","EPA calculates a property type based on the property uses that you enter. This is the property type that accounts for more than 50% of your property. If no individual property type accounts for more than 50%, then it is designated as Mixed Use.","Text"
"Property_Name","Property Name","Name of property as reported by property owner.","Text"
"Site_EUI_kBtuft2","Site Energy Use Intensity kBtu/ft2","Site energy use intensity (EUI) is the annual amount of all the energy a property consumes on-site divided by property floor area.","Text"
"Source_EUI_kBtuft2","Source Energy Use Intensity kBtu/ft2","The total amount of all the raw fuel consumed on-site, including losses that take place during generation, transmission, and distribution of the energy divided by property floor area.","Text"
"Steam_Use_kBtu","District Steam Use (kBtu)","Annual district steam consumption for the property as reported from utility bills.","Text"
"street_address","Building Address","Location of property","Text"
"Total_Floor_Area_Bld_Pk_ft2","Property Gross Floor Area - EPA Calculated (Buildings and Parking) (ft²)","Property floor area (ft2) is the gross floor area of the property including parking. Gross floor area is the total size, as measured between the principal exterior surfaces of the enclosing fixed walls of the building(s) including all areas inside the building.","Integer"
"Total_GHG_Emissions_MtCO2e","Total Green House Gas Emissions (Metric Tons CO2e)","The annual carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) gases released into the atmosphere as a result of energy consumption at the property. GHG emissions are expressed in metric tons carbon dioxide equivalent (MtCO2e).","Text"
"Water Score","","","Numeric"
"Water_Use_ALL_kgal","Water Use (All Water Sources) (kgal)","The annual consumption of water associated, across all water meters of all types represented in thousand gallons (kgal).","Text"
"x_coord","x coord","X coordinate in decimal degrees of the address","Numeric"
"y_coord","y coord","Y coordinate in decimal degrees of the address.","Numeric"
"Year_Built","Year Built","The year in which the property was constructed as reported by property owner.","Integer"
"Year_Built","Year Built","The year in which the property was constructed as reported by property owner.","Integer"
