old_name,new_name,definition
building_id,id_building,"Unique identifier for each building (format: CITY_NUMBER, e.g. NYC_1000160125)"
address,loc_address,"Street address of building"
city,loc_city,"City name extracted from address"
state,loc_state,"Two-letter state abbreviation"
zip_code,loc_zip,"5-digit ZIP code"
latitude,loc_lat,"Geographic latitude coordinate"
longitude,loc_lon,"Geographic longitude coordinate"
property_name,id_property_name,"Common name of property (e.g. '2 World Financial Center')"
building_url,id_source_url,"URL to original data source (e.g. Energy Star Portfolio Manager)"
property_plant_id,id_source_plant_id,"Original ID from source database"
building_type,bldg_type,"Building use type (e.g. Office, Hotel, K-12 School)"
radio_button_building_type,bldg_type_filter,"Simplified building type for UI filtering"
benchmark_building_type,bldg_type_benchmark,"Building type used for EUI benchmarking"
vertical,bldg_vertical,"Market vertical: Commercial, Education, Healthcare, or Government"
year_built,bldg_year_built,"Year building was constructed"
square_footage,bldg_sqft,"Gross floor area in square feet"
reporting_year,data_year,"Year the energy data was reported"
building_owner,org_owner,"Legal owner of the building"
property_manager,org_manager,"Property management company"
tenant,org_tenant,"Primary tenant organization"
tenant_sub_org,org_tenant_subunit,"Sub-unit or department within tenant organization"
site_eui,energy_site_eui,"Site Energy Use Intensity in kBtu per square foot per year"
eui_benchmark,energy_eui_benchmark,"Median EUI for this building type (for comparison)"
total_site_energy_kbtu,energy_total_kbtu,"Total annual site energy consumption in kBtu"
electricity_use_kbtu,energy_elec_kbtu,"Annual electricity consumption in kBtu"
electricity_kwh,energy_elec_kwh,"Annual electricity consumption in kWh"
natural_gas_use_kbtu,energy_gas_kbtu,"Annual natural gas consumption in kBtu"
district_steam_use_kbtu,energy_steam_kbtu,"Annual district steam consumption in kBtu"
fuel_oil_use_kbtu,energy_fuel_oil_kbtu,"Annual fuel oil consumption in kBtu"
energy_star_score,energy_star_score,"EPA Energy Star score (1-100, higher = more efficient)"
energy_star_climate_zone,energy_climate_zone,"Climate zone for Energy Star calculations (Northern, South-Central, etc.)"
energy_rate_per_kwh,cost_elec_rate_kwh,"Electricity rate in dollars per kWh"
demand_rate_per_kw,cost_elec_rate_demand_kw,"Electricity demand charge in dollars per kW"
load_factor_used,cost_elec_load_factor,"Load factor used to estimate peak demand (0-1)"
estimated_peak_kw,cost_elec_peak_kw,"Estimated peak electricity demand in kW"
annual_energy_cost,cost_elec_energy_annual,"Annual electricity energy charges (usage only) in USD"
annual_demand_cost,cost_elec_demand_annual,"Annual electricity demand charges in USD"
total_annual_electricity_cost,cost_elec_total_annual,"Total annual electricity cost (energy + demand) in USD"
gas_rate_per_therm,cost_gas_rate_therm,"Natural gas rate in dollars per therm"
annual_gas_cost,cost_gas_annual,"Annual natural gas cost in USD"
steam_rate_per_mlb,cost_steam_rate_mlb,"District steam rate in dollars per thousand pounds"
annual_steam_cost,cost_steam_annual,"Annual district steam cost in USD"
fuel_oil_rate_per_gallon,cost_fuel_oil_rate_gal,"Fuel oil rate in dollars per gallon"
annual_fuel_oil_cost,cost_fuel_oil_annual,"Annual fuel oil cost in USD"
utility_name_used,cost_utility_name,"Name of electric utility used for rate lookup"
cost_calculation_notes,cost_calc_notes,"Notes on how costs were calculated or estimated"
pct_elec_hvac,hvac_pct_elec,"Fraction of electricity used for HVAC (0-1), from CBECS data"
pct_gas_hvac,hvac_pct_gas,"Fraction of natural gas used for HVAC (0-1), from CBECS data"
pct_steam_hvac,hvac_pct_steam,"Fraction of district steam used for HVAC (0-1), from CBECS data"
pct_fuel_oil_hvac,hvac_pct_fuel_oil,"Fraction of fuel oil used for HVAC (0-1), from CBECS data"
total_hvac_energy_kbtu,hvac_energy_total_kbtu,"Total annual HVAC energy in kBtu = sum of (fuel_kbtu × hvac_pct) for each fuel"
total_hvac_energy_cost,hvac_cost_total_annual,"Total annual HVAC cost in USD = sum of (fuel_cost × hvac_pct) for each fuel"
method,hvac_pct_method,"Method used to determine HVAC percentages (CBECS lookup key)"
total_ghg_emissions_mt_co2e,carbon_emissions_total_mt,"Total annual GHG emissions in metric tons CO2 equivalent"
vacancy_rate,occ_vacancy_rate,"Fraction of rentable space currently vacant (0-1)"
utilization_rate,occ_utilization_rate,"Fraction of occupied space actually in use during business hours (0-1)"
odcv_savings_pct,odcv_hvac_savings_pct,"Percentage of HVAC costs saved by ODCV (0.20-0.50). Derived from: opportunity score (vacancy + utilization) × automation score (year + sqft) × efficiency modifier × climate modifier, clamped to building type bounds"
odcv_dollar_savings,odcv_hvac_savings_annual_usd,"Annual HVAC utility cost savings from ODCV in USD = hvac_cost_total_annual × odcv_hvac_savings_pct"
carbon_emissions_reduction_yr1,odcv_carbon_reduction_yr1_mt,"Year 1 carbon emissions reduction from ODCV in metric tons CO2e. Calculated from energy reduction × emission factors per fuel type"
carbon_local_law,bps_law_name,"Name of Building Performance Standard law (e.g. 'NYC LL97', 'Boston BERDO')"
fine_avoidance_yr1,bps_fine_avoided_yr1_usd,"Year 1 BPS penalty avoided by implementing ODCV in USD. Calculation varies by city law type (emission cap, EUI target, or Energy Star based)"
total_annual_opex_avoidance,savings_opex_avoided_annual_usd,"Total annual operating expense savings in USD = odcv_hvac_savings_annual_usd + bps_fine_avoided_yr1_usd"
total_building_cost_savings_pct,savings_pct_of_energy_cost,"ODCV savings as percentage of total annual energy cost = odcv_hvac_savings_annual_usd / (cost_elec_total_annual + cost_gas_annual + cost_steam_annual + cost_fuel_oil_annual)"
cap_rate,val_cap_rate_pct,"Capitalization rate for property valuation (stored as percentage, e.g. 7.5 means 7.5%)"
market_rent_per_sqft,val_market_rent_sqft,"Market rent in dollars per square foot per year"
operating_expense_ratio,val_opex_ratio,"Operating expenses as fraction of gross income (0-1)"
current_valuation_usd,val_current_usd,"Estimated current property value in USD = (energy_cost / 0.12 × 0.60) / (cap_rate / 100)"
post_odcv_valuation_usd,val_post_odcv_usd,"Estimated property value after ODCV in USD = val_current_usd + val_odcv_impact_usd"
odcv_valuation_impact_usd,val_odcv_impact_usd,"Property value increase from ODCV in USD = savings_opex_avoided_annual_usd / (val_cap_rate_pct / 100)"
photo_url,meta_photo_url,"URL to building photo image"
