id_building,id_property_name,bldg_type,loc_address,loc_city,loc_state,recommended_tenant,org_type,type_match
BOS_100203,John Hancock Financial Center,Office,601 Congress St  Boston  MA  02210,Boston,MA,John Hancock,Office,YES
BOS_101336,John Hancock Tower,Office,200 Clarendon St  Boston  MA  02116,Boston,MA,John Hancock,Office,YES
BOS_104102,State Street Financial Center,Office,1 Lincoln St  Boston  MA  02111,Boston,MA,State Street,Office,YES
CA_1585321,Pacifica Tower,Office,4365 Executive Drive  San Diego  CA  92121,San Diego,CA,"The Pacifica Company, LP.",Office,YES
CA_2320415,Transportation Center,Office,4710 Cardin St.  San Diego  CA  92111,San Diego,CA,California Department of Transportation (Caltrans),Office,YES
CA_26543764,Starbucks Yosemite,Hotel,9006 Yosemite Lodge Drive  Yosemite Valley  CA  95389,Yosemite Valley,CA,Starbucks,Retail Store,NO
CA_50351094,Bay Meadows Station,Office,2750 South Delaware Street  San Mateo  CA  94403,San Mateo,CA,"Bay Meadows Station Investors, LLC",Office,YES
CA_55176192,Caltrans District 2 Office Complex,Office,1657 Riverside Drive  Redding  CA  96001,Redding,CA,California Department of Transportation (Caltrans),Office,YES
CA_6359056,Nordstrom #874/583,Mixed Use,700 Flower Street  Los Angeles  CA  90017,Los Angeles,CA,Nordstrom,Retail Store,NO
CA_6366927,Government Center,Office,15900 Smoke Tree Street  Hesperia  CA  92345,Hesperia,CA,General Services Administration (GSA),Office,YES
CHI_101722,Citigroup Center Chicago,Office,500 West Monroe  Chicago  IL  60661,Chicago,IL,Citigroup,Office,YES
CHI_252313,Salvation Army - Divisional Headouarters,Office,5040 N. Pulaski Road  Chicago  IL  60641,Chicago,IL,The Salvation Army,Venue,NO
CHI_257173,Macy's State Street,Office,24 East Washington Street  Chicago  IL  60602,Chicago,IL,State Street,Office,YES
DC_5476616,The Tower Companies,Office,1075 19th St NW  Washington  DC 20036,Washington,DC,The Tower Companies,Office,YES
DC_5483219,Jamestown Georgetown Park,Office,3270 M St NW  Washington  DC  20007,Washington,DC,Jamestown L.P.,Office,YES
DC_5484746,Transportation Equipment Center,Office,1325 S St NW  Washington  DC 20009,Washington,DC,California Department of Transportation (Caltrans),Office,YES
KC_081201810,Helping Hand of Goodwill,Office,1817 Campbell St  Kansas City  MO  64108,Kansas City,MO,Goodwill,Retail Store,NO
LA_469973844796,Paramount Plaza Los Angeles,Office,3580 Wilshire Blvd  Los Angeles  CA 90010,Los Angeles,CA,Paramount Group,Office,YES
LA_470100844792,Paramount Plaza Los Angeles,Office,3550 Wilshire Blvd  Los Angeles  CA 90010,Los Angeles,CA,Paramount Group,Office,YES
ORL_120020,SunTrust Center,Office,222 S Orange Ave  Orlando  FL 32801,Orlando,FL,Truist,Office,YES
ORL_130004,Lincoln Plaza at SunTrust Center,Office,Lincoln Plaza at SunTrust Center  300 S Orange Ave  Orlando  FL 32801,Orlando,FL,Truist,Office,YES
PDX_1N1E34CD-80000-B1,US Bancorp Tower,Office,555 SW Oak St  Portland  OR  97204,Portland,OR,US Bank,Office,YES
PDX_1N2E31BB-2801-B1,Providence Office Park I,Office,4400 NE Halsey St  Portland  OR  97213,Portland,OR,Providence Health,Inpatient Hospital,NO
PDX_Campus-24,Fred Meyer Office Building,Office,3800 SE 22nd Ave  Portland  OR  97202,Portland,OR,Fred Meyer,Supermarket/Grocery,NO
SEA_1982201065,Seattle City Light System Control Center,Office,614 NW 46Th St  Seattle  WA  98107,Seattle,WA,City Light,Office,YES
SEA_4310701070,Seattle City Light North Service Center,Office,9700 Stone Ave N  Seattle  WA  98103,Seattle,WA,City Light,Office,YES
SEA_7134300080,Goodwill Job Training & Education Ctr,Office,700 Dearborn Pl S  Seattle  WA  98144,Seattle,WA,Goodwill,Retail Store,NO
SF_10210382024,Jewish Community Center,Mixed Use,3200 California St  San Francisco  CA  94118,San Francisco,CA,Jewish Community Center,Venue,NO
SF_37060472024,Jamestown New,Office,799 Market St  San Francisco  CA  94103,San Francisco,CA,Jamestown L.P.,Office,YES
NYC_1013087502,Citibank Building,Office,101 East 53rd Street,New York,NY,Citibank,Office,YES
NYC_1013747501,Consolidated Edison Building,Office,41 East 59th Street,New York,NY,Consolidated Edison,Office,YES
